	conditionID	data_rep	fit_rep	loglik	lmax	ncat	ntips	nOGs	cpy_change_rates	cpy_root_probs	cat_switch_rates	cat_root_probs
130	cond14	1	3	-188830.96884853998	2	6	128	4000	0.11481246652839522	0.06066631122383703	1.3730461990815952	0.038636090095768225
131	cond14	2	4	-194641.98347986437	2	6	128	4000	0.11020494768005369	0.09083112381716185	1.166839086173695	0.07146142369539574
132	cond14	3	5	-182337.04803049678	2	6	128	4000	0.2653136226829851	0.17228912585248893	1.7382927052724617	0.1912273271291448
133	cond14	4	5	-216009.8856384151	2	6	128	4000	0.06692466338582932	0.08953661535866525	1.4333565286896248	0.04998631992385073
134	cond14	5	3	-199872.12753912836	2	6	128	4000	0.26863203710383404	0.20314179373339633	1.1454172962787343	0.1862896045462632
135	cond14	6	10	-200605.35343860794	2	6	128	4000	0.0805507344886643	0.09619159927761545	0.933032597988867	0.06317500216119584
136	cond14	7	6	-208877.56424501762	2	6	128	4000	0.13445035151146395	0.09955839544165046	2.3302491453607685	0.049864342044488974
137	cond14	8	2	-212449.1431476667	2	6	128	4000	0.14350417908978408	0.13807168667993083	1.876270268487316	0.05339122590350695
138	cond14	9	3	-207980.94119397635	2	6	128	4000	0.18576713242032947	0.20603318573749416	2.0940614230726977	0.12705189602114977
139	cond14	10	1	-189238.44727039285	2	6	128	4000	0.22826331621739668	0.24250550869590026	1.5918185732291403	0.1946402757563434
140	cond15	1	2	-138227.6577803503	1	3	128	4000	0.014266536068523591	0.01809129546327748	0.47176391872761186	0.027532258593721437
141	cond15	2	5	-121223.24047282207	1	3	128	4000	0.034883062417256694	0.020304411665389262	0.5448908568789065	0.008685173830834392
142	cond15	3	5	-168155.4678153242	1	3	128	4000	0.020082952971926433	0.014203434761937287	1.6525389151616896	0.05941906312300499
143	cond15	4	1	-112389.06541453238	1	3	128	4000	0.05204847723888478	0.01802639275957085	1.1695121774699533	0.08708150942993176
144	cond15	5	4	-156666.2829423747	1	3	128	4000	0.09658063862727707	0.03786165123362753	3.3978674002949596	0.04618589837287007
145	cond15	6	8	-179029.9720486201	1	3	128	4000	0.07611151251560196	0.03502819016433131	8.883895491363447	0.10983495314666544
146	cond15	7	5	-189718.24838735606	1	3	128	4000	0.056376553487322324	0.055436498866236424	1.4240161377087877	0.04413177332328741
147	cond15	8	5	-150771.49428644136	1	3	128	4000	0.10910276673115975	0.07091496394261812	4.21795128688521	0.13465757123379044
148	cond15	9	6	-126771.34645051265	1	3	128	4000	0.3130785533691111	0.2568649702927481	2.5313313415656364	0.3319257403552481
149	cond15	10	6	-106505.63803763984	1	3	128	4000	0.1697986480020106	0.13193522393801457	3.7221302311825606	0.17233460460839556
150	cond16	1	4	-270504.950491083	3	3	128	4000	0.030696299793574584	0.017265899682036925	1.4522980445876288	0.0016389352772077648
151	cond16	2	9	-175201.5156399164	3	3	128	4000	0.055724977244160305	0.0470675702925659	0.35021518325425643	0.005141845736799822
152	cond16	3	4	-244210.95352728548	3	3	128	4000	0.020562075684004658	0.03276885132452286	0.4493084203854034	0.01160718199606603
153	cond16	4	5	-248494.1127883254	3	3	128	4000	0.020603573252972605	0.051335401648704516	0.29339941161969124	0.01426295199277261
154	cond16	5	4	-231356.429603416	3	3	128	4000	0.02385344465180879	0.04834600453320225	0.6133498765235547	0.030800502589907686
155	cond16	6	2	-215238.14539342804	3	3	128	4000	0.033295444948264516	0.030131686506276484	0.42136825439244063	0.004794426912098998
156	cond16	7	8	-235652.81156121218	3	3	128	4000	0.030669440203747997	0.055039104252975334	0.3100422981332966	0.017318085067570377
157	cond16	8	9	-217855.31499988952	3	3	128	4000	0.033790678086424636	0.04589198691929477	0.3703572038140568	0.006517965175414364
158	cond16	9	1	-229577.12400844292	3	3	128	4000	0.03404297023248148	0.06011768215024335	0.5539147948424689	0.010888346362873058
159	cond16	10	2	-201648.14583420267	3	3	128	4000	0.022913768617239618	0.034765427403003715	0.4000740280916622	0.041324222008989
160	cond17	1	7	-208025.9162796944	4	3	128	4000	0.05691791549660724	0.06110232332836759	0.7738071659638366	0.013084628081183602
161	cond17	2	5	-238269.13100385334	4	3	128	4000	0.03260293568799894	0.040194437698468456	0.5682861588627935	0.007211874854945177
162	cond17	3	8	-200737.40977660735	4	3	128	4000	0.06510507209778776	0.05161171143375546	0.9521618657406782	0.02540403205791475
163	cond17	4	5	-223003.53065846796	4	3	128	4000	0.030075023330055753	0.040771929150035725	0.546883988893199	0.012647004073447654
164	cond17	5	7	-302205.3962761542	4	3	128	4000	0.022255276272212066	0.027877928819231342	0.45609821947686385	0.010836701460882225
165	cond17	6	3	-198294.21526554727	4	3	128	4000	0.041985740865127186	0.15556151707406493	1.2185689453022903	0.05185814472545763
166	cond17	7	4	-281172.6781535931	4	3	128	4000	0.037953193137954915	0.0438339891231452	1.2630737314946419	0.020976467808365318
167	cond17	8	9	-229235.47610459477	4	3	128	4000	0.03608561088250402	0.061856200854043225	0.36839198098933174	0.03420999193159163
168	cond17	9	9	-270609.90660924686	4	3	128	4000	0.03968040310987055	0.07299473775886607	0.3642167624903765	0.05145019993358002
169	cond17	10	3	-196200.1799384207	4	3	128	4000	0.03205004189223814	0.06625613411518066	0.36714123726556885	0.01825863924923754
170	cond18	1	7	-241953.5982480243	5	3	128	4000	0.06426742874560906	0.07492210559941127	0.4189357745670042	0.012966629712996669
171	cond18	2	7	-220404.91742897726	5	3	128	4000	0.16703817624264292	0.17972052979705597	1.7040610250379287	0.025428941548754858
172	cond18	3	7	-267367.6784106317	5	3	128	4000	0.0548737743197264	0.04147128008554707	0.838454919012035	0.01950988799342407
173	cond18	4	8	-209592.48067415995	5	3	128	4000	0.12589675711160778	0.04628858294445318	0.5257066977392091	0.01053422618738506
174	cond18	5	1	-263184.3326031761	5	3	128	4000	0.03045044917702365	0.04193684901863323	0.3280172614863526	0.003546349796115511
175	cond18	6	6	-265892.78479630256	5	3	128	4000	0.042805348362738145	0.06355158864113443	0.899339119134552	0.02693199018967274
176	cond18	7	8	-222428.70827434998	5	3	128	4000	0.06272439776742976	0.04775875300617322	0.6188190554643388	0.008663045008148074
177	cond18	8	2	-235563.63990376433	5	3	128	4000	0.0391267179902801	0.045978063518923945	0.31266652147140506	0.019761436902189233
